"CA Name"	"Root Certificate"	"SHA-1 Thumbprint"	"SHA-256 Thumbprint"
"Comodo"	"COMODO CA"	"D1:EB:23:A4:6D:17:D6:8F:D9:25:64:C2:F1:F1:60:17:64:D8:E3:49"	"D7:A7:A0:FB:5D:7E:27:31:D7:71:E9:48:4E:BC:DE:F7:1D:5F:0C:3E:0A:29:48:78:2B:C8:3E:E0:EA:69:9E:F4"
"Comodo"	"COMODO Certification Authority"	"66:31:BF:9E:F7:4F:9E:B6:C9:D5:A6:0C:BA:6A:BE:D1:F7:BD:EF:7B"	"0C:2C:D6:3D:F7:80:6F:A3:99:ED:E8:09:11:6B:57:5B:F8:79:89:F0:65:18:F9:80:8C:86:05:03:17:8B:AF:66"
"Comodo"	"COMODO Certification Authority"	"EE:86:93:87:FF:FD:83:49:AB:5A:D1:43:22:58:87:89:A4:57:B0:12"	"1A:0D:20:44:5D:E5:BA:18:62:D1:9E:F8:80:85:8C:BC:E5:01:02:B3:6E:8F:0A:04:0C:3C:69:E7:45:22:FE:6E"
"Comodo"	"COMODO ECC Certification Authority"	"9F:74:4E:9F:2B:4D:BA:EC:0F:31:2C:50:B6:56:3B:8E:2D:93:C3:11"	"17:93:92:7A:06:14:54:97:89:AD:CE:2F:8F:34:F7:F0:B6:6D:0F:3A:E3:A3:B8:4D:21:EC:15:DB:BA:4F:AD:C7"
"Comodo"	"COMODO RSA Certification Authority"	"AF:E5:D2:44:A8:D1:19:42:30:FF:47:9F:E2:F8:97:BB:CD:7A:8C:B4"	"52:F0:E1:C4:E5:8E:C6:29:29:1B:60:31:7F:07:46:71:B8:5D:7E:A8:0D:5B:07:27:34:63:53:4B:32:B4:02:34"
"Comodo"	"The USERTrust Network™"	"02:FA:F3:E2:91:43:54:68:60:78:57:69:4D:F5:E4:5B:68:85:18:68"	"68:7F:A4:51:38:22:78:FF:F0:C8:B1:1F:8D:43:D5:76:67:1C:6E:B2:BC:EA:B4:13:FB:83:D9:65:D0:6D:2F:F2"
"Comodo"	"USERTrust (Client Authentication / Secure Email)"	"B1:72:B1:A5:6D:95:F9:1F:E5:02:87:E1:4D:37:EA:6A:44:63:76:8A"	"43:F2:57:41:2D:44:0D:62:74:76:97:4F:87:7D:A8:F1:FC:24:44:56:5A:36:7A:E6:0E:DD:C2:7A:41:25:31:AE"
"Comodo"	"USERTrust (Code Signing)"	"E1:2D:FB:4B:41:D7:D9:C3:2B:30:51:4B:AC:1D:81:D8:38:5E:2D:46"	"6F:FF:78:E4:00:A7:0C:11:01:1C:D8:59:77:C4:59:FB:5A:F9:6A:3D:F0:54:08:20:D0:F4:B8:60:78:75:E5:8F"
"Comodo"	"USERTrust RSA Certification Authority"	"2B:8F:1B:57:33:0D:BB:A2:D0:7A:6C:51:F7:0E:E9:0D:DA:B9:AD:8E"	"E7:93:C9:B0:2F:D8:AA:13:E2:1C:31:22:8A:CC:B0:81:19:64:3B:74:9C:89:89:64:B1:74:6D:46:C3:D4:CB:D2"
"Comodo"	"UTN-USERFirst-Hardware"	"04:83:ED:33:99:AC:36:08:05:87:22:ED:BC:5E:46:00:E3:BE:F9:D7"	"6E:A5:47:41:D0:04:66:7E:ED:1B:48:16:63:4A:A3:A7:9E:6E:4B:96:95:0F:82:79:DA:FC:8D:9B:D8:81:21:37"
"ComSign"	"ComSign Advanced Security CA"	"80:BF:3D:E9:A4:1D:76:8D:19:4B:29:3C:85:63:2C:DB:C8:EA:8C:F7"	"3C:CC:3C:CF:E4:54:96:D0:7B:62:0D:BF:13:28:E8:A1:49:00:18:F4:86:33:C8:A2:8A:99:5C:A6:04:08:B0:BE"
"ComSign"	"ComSign CA"	"E1:A4:5B:14:1A:21:DA:1A:79:F4:1A:42:A9:61:D6:69:CD:06:34:C1"	"AE:44:57:B4:0D:9E:DA:96:67:7B:0D:3C:92:D5:7B:51:77:AB:D7:AC:10:37:95:83:56:D1:E0:94:51:8B:E5:F2"
"ComSign"	"ComSign Global Root CA"	"AE:3B:31:BF:8F:D8:91:07:9C:F1:DF:34:CB:CE:6E:70:D3:7F:B5:B0"	"26:05:87:5A:FC:C1:76:B2:D6:6D:D6:6A:99:5D:7F:8D:5E:BB:86:CE:12:0D:0E:7E:9E:7C:6E:F2:94:A2:7D:4C"
"ComSign"	"ComSign Secured CA"	"F9:CD:0E:2C:DA:76:24:C1:8F:BD:F0:F0:AB:B6:45:B8:F7:FE:D5:7A"	"50:79:41:C7:44:60:A0:B4:70:86:22:0D:4E:99:32:57:2A:B5:D1:B5:BB:CB:89:80:AB:1C:B1:76:51:A8:44:D2"
"Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert)"	"EC-ACC"	"28:90:3A:63:5B:52:80:FA:E6:77:4C:0B:6D:A7:D6:BA:A6:4A:F2:E8"	"88:49:7F:01:60:2F:31:54:24:6A:E2:8C:4D:5A:EF:10:F1:D8:7E:BB:76:62:6F:4A:E0:B7:F9:5B:A7:96:87:99"
"Cybertrust Japan / JCSI"	"SecureSign RootCA11"	"3B:C4:9F:48:F8:F3:73:A0:9C:1E:BD:F8:5B:B1:C3:65:C7:D8:11:B3"	"BF:0F:EE:FB:9E:3A:58:1A:D5:F9:E9:DB:75:89:98:57:43:D2:61:08:5C:4D:31:4F:6F:5D:72:59:AA:42:16:12"
"D-TRUST"	"D-TRUST Root CA 3 2013"	"6C:7C:CC:E7:D4:AE:51:5F:99:08:CD:3F:F6:E8:C3:78:DF:6F:EF:97"	"A1:A8:6D:04:12:1E:B8:7F:02:7C:66:F5:33:03:C2:8E:57:39:F9:43:FC:84:B3:8A:D6:AF:00:90:35:DD:94:57"
"D-TRUST"	"D-TRUST Root Class 3 CA 2 2009"	"58:E8:AB:B0:36:15:33:FB:80:F7:9B:1B:6D:29:D3:FF:8D:5F:00:F0"	"49:E7:A4:42:AC:F0:EA:62:87:05:00:54:B5:25:64:B6:50:E4:F4:9E:42:E3:48:D6:AA:38:E0:39:E9:57:B1:C1"
"D-TRUST"	"D-TRUST Root Class 3 CA 2 EV 2009"	"96:C9:1B:0B:95:B4:10:98:42:FA:D0:D8:22:79:FE:60:FA:B9:16:83"	"EE:C5:49:6B:98:8C:E9:86:25:B9:34:09:2E:EC:29:08:BE:D0:B0:F3:16:C2:D4:73:0C:84:EA:F1:F3:D3:48:81"
"DATEV eG"	"CA DATEV BT 01"	"DA:8B:65:67:EF:3F:6E:1E:A2:6A:B1:46:E3:6C:CB:57:28:04:18:46"	"1E:91:0B:40:C0:81:84:C0:CA:20:46:8E:82:45:02:FF:24:85:16:3F:77:B0:3B:B7:32:96:82:3F:03:88:56:21"
"DATEV eG"	"CA DATEV BT 02"	"39:41:0B:C2:30:37:48:06:60:69:A7:2A:66:4D:E4:C7:43:48:12:96"	"81:C2:56:85:03:EB:3B:E5:EE:C3:66:65:39:60:E6:D1:BE:94:48:91:5E:46:05:B7:93:FB:EB:34:CC:B2:47:0F"
"DATEV eG"	"CA DATEV BT 03"	"3D:B6:6D:FE:BE:B6:71:28:89:E7:C0:98:B3:28:05:89:6B:62:18:CC"	"0C:0B:6B:2B:D1:ED:D7:B2:7F:EA:D1:57:F8:E8:46:B3:35:B7:84:A3:9F:06:C4:72:16:C8:74:6F:64:C5:CE:DA"
"DATEV eG"	"CA DATEV INT 01"	"52:41:2B:D6:7B:5A:6C:69:52:82:38:60:26:F0:B0:53:DD:40:0E:FC"	"EF:B5:15:7E:9C:66:CA:A1:DC:C6:3C:9F:AC:01:27:CD:E8:3B:7A:42:6C:45:79:B7:B4:3A:41:BA:46:A5:6D:EB"
"DATEV eG"	"CA DATEV INT 02"	"93:F7:F4:8B:12:61:94:3F:6A:78:21:0C:52:E6:26:DF:BF:BB:E2:60"	"99:7E:15:C5:A4:48:1A:85:98:49:97:53:97:1E:E2:60:1D:10:47:C3:63:5A:FF:21:AF:42:21:A8:17:FD:2D:96"
"DATEV eG"	"CA DATEV INT 03"	"92:4A:EA:47:F7:3C:B6:90:56:5E:55:2C:FC:C6:E8:D6:3E:EE:42:42"	"8B:A1:BD:9C:88:EF:B3:94:7E:60:EB:E2:11:37:F8:1D:F7:F0:99:94:CE:F2:7F:09:70:55:01:8B:81:94:C6:34"
"DATEV eG"	"CA DATEV STD 01"	"15:03:32:A5:8D:C5:91:FC:42:D4:C8:73:FF:9F:1F:0F:81:D5:97:C9"	"1B:A6:22:B3:63:25:54:4A:E9:22:AF:C2:2E:F9:D3:67:94:37:94:F6:E1:68:74:F3:68:A7:33:C6:5C:9D:52:79"
"DATEV eG"	"CA DATEV STD 02"	"AB:9D:58:C0:3F:54:B1:DA:E3:F7:C2:D4:C6:C1:EC:36:94:55:9C:37"	"05:D3:8C:2A:70:BF:C5:00:CC:B0:CB:50:91:59:B4:6B:06:5C:6A:C9:CB:42:D2:E6:F1:61:67:84:14:34:57:2A"
"DATEV eG"	"CA DATEV STD 03"	"27:EE:D2:2A:FD:58:A2:C6:4A:85:5E:36:80:AF:89:8B:F3:6C:E5:03"	"54:AE:8A:68:3F:E2:D7:8F:F1:EF:0E:0B:3F:58:42:50:92:95:3B:A0:8C:67:FE:4A:95:59:5D:1C:EB:CD:CB:30"
"Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe)"	"S-TRUST Authentication and Encryption Root CA 2005:PN"	"BE:B5:A9:95:74:6B:9E:DF:73:8B:56:E6:DF:43:7A:77:BE:10:6B:81"	"37:D8:DC:8A:F7:86:78:45:DA:33:44:A6:B1:BA:DE:44:8D:8A:80:E4:7B:55:79:F9:6B:F6:31:76:8F:9F:30:F6"
"Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe)"	"S-TRUST Universal Root CA"	"1B:3D:11:14:EA:7A:0F:95:58:54:41:95:BF:6B:25:82:AB:40:CE:9A"	"D8:0F:EF:91:0A:E3:F1:04:72:3B:04:5C:EC:2D:01:9F:44:1C:E6:21:3A:DF:15:67:91:E7:0C:17:90:11:0A:31"
"Deutscher Sparkassen Verlag GmbH (S-TRUST, DSV-Gruppe)"	"TC TrustCenter Class 3 CA II"	"80:25:EF:F4:6E:70:C8:D4:72:24:65:84:FE:40:3B:8A:8D:6A:DB:F5"	"8D:A0:84:FC:F9:9C:E0:77:22:F8:9B:32:05:93:98:06:FA:5C:B8:11:E1:C8:13:F6:A1:08:C7:D3:36:B3:40:8E"
